term_str,0,1,2,3,4,5,6,7,8,9
explicitly,0.0037716342213961478,-0.01172823491997912,-0.006822767662438682,-0.002759099964321155,-0.020025081435356442,-0.0011486369589553168,-0.0024766035039238588,0.003031249954647759,0.02663943338543641,-0.08278224512711885
sir?”,-0.0037946946080505205,0.000512108627337541,5.86289763260886e-05,-3.5190134395027964e-05,0.00020492777048842606,-7.564977315182568e-05,0.011479133960300654,0.002142273418636521,0.0057560541850477515,-0.02463137294495854
explosion,0.0028996594824163367,-0.00909032333614276,0.00022675497990829336,0.0018201594493785374,0.02478772651556835,0.0008476859709754396,0.00046888622987771323,0.0024129974202199166,-0.007249226977516954,-0.19440965234407964
autumn.,0.014062360385476525,0.009974256105529593,0.024875298744166982,-0.032106934331808834,-0.012299573558534876,0.002269693492145052,-1.672575461469591e-05,-0.001272953603451192,0.02682272214428133,0.10055623534147845
auspices,0.0018842999651386113,0.00375800656761729,0.001020336802063227,-0.009493281638072018,0.0005861007694127454,0.010311307591031138,-0.0008192462896191676,-0.0025757280933048515,-0.04529678620823224,-0.008600047759444007
"sir,”",-0.010147914269896518,0.0013693628713961812,0.00015537131153621982,-9.024400308962912e-05,0.0005475711306251492,-0.00018941022547286875,0.020361235215473946,0.015516348631044025,0.002930559609268246,-0.005201041676363594
explosive,0.0013484370308377088,-0.004355763647755353,0.010983674120946673,0.0006155861393442958,-0.007875453445424853,-0.0007653042976866445,0.00046560901197534527,0.0026512522675012228,0.03833309941283136,-0.014196622046768942
sins.,0.0016398302569922002,0.0038704461606742344,-5.856950198859645e-05,-0.0024407946492851647,0.000911936847502395,-0.013590218975014105,0.0025728299987375675,-6.977675994875592e-05,-0.025217027232416922,0.010730060794806429
aunt’s,-0.003275300564067441,0.00043973923254801754,5.476948912087212e-05,-2.6862026885733045e-05,0.00017824063795327135,-6.543785119728283e-05,0.016661664888435467,0.012772626308170753,-0.0003196996133892904,-0.00047020259872518344
"waves,",0.009528582902248239,-0.02842480838858236,-0.03527764031254689,-0.00401947432367649,0.012864442531133708,0.0005022449385706791,3.966905907252213e-06,-0.004864134634630837,-0.0015531660847689088,0.0018715984973354666
"express,",0.004096619977768228,0.007322799605824639,-0.0003559045800775272,0.003501408730865482,-0.0005801387249015104,0.01525728024337666,-0.0015976496291735369,0.0018393041736786912,-0.0012198455045437338,-0.00036892064648813187
express.,0.017219664941509092,0.029874897976960895,-0.002068642260921332,0.004315495242078182,0.0026662966520173835,-0.04769448060117727,-8.608672560730161e-05,-0.0010203041942719567,-0.007953609832128979,0.00014497629614953993
express;,0.0059099425532634494,0.0029566800121001067,0.0010612190799157534,-0.011014842428078153,0.013841529437105328,-0.0028363691543728327,-1.1542786742126378e-05,-0.0005020697872036124,0.00021891116869203603,0.0025870151225560437
"expressed,",0.008618125573129402,0.014896295398164389,-0.0004924671019611497,-0.001369229968542377,0.0011765926245829233,-0.01189932267609391,-1.0349843841514944e-05,-0.0005996189367377292,-0.00037348457487156663,-0.005715475096602396
authorities,0.008824237106993645,-0.02667682391223851,-0.05330603532289335,-0.009215788067096584,-0.024060187299128125,-0.0007344650107291497,5.03314864111663e-05,-0.004570116713552632,0.010695119548109049,-0.007730174184247226
experiment.,0.0013392394730539243,-0.0043536363450283845,0.01098239026431308,0.0006137037689084834,-0.007875424088517432,-0.0007669502400950016,-0.000872792084640595,-0.0026716748301573645,-0.0006890921532329938,-0.0006730934311972943
sister’s,-0.004446875053143519,0.0006065016323782734,5.7102867448918255e-05,-5.124830556903038e-05,0.0002363534190098891,-8.883566442830567e-05,-0.0049968012246594225,-0.028528303021656987,-0.00014156240303932205,-0.0023044270574547592
